CellId,CellIdNc,intensity
LD31N06C,LD31N06A,0.14118
LD31N06C,LD31N06B,0.131596666666667
LD31N06C,LD31J35B,0.11544
LD31N06C,LD31B50C,0.01354
LD31N06C,LD31B50B,0.04412
LD31N06B,LD31N06C,0.40142
LD31N06B,LD31J65C,0.415703333333333
LD31N06B,LD31G83C,0.292246666666667
LD31N06B,LD31B50B,0.0253833333333333
LD31N06B,LD31E01A,0.03016
LD31N06B,LD31F65C,0.0239733333333333
LF31E67A,LF31A90A,0.05475
LF31E67A,LF31A58B,0.0327766666666667
LF31E67A,LF31A58C,0.0210133333333333
LD31A91F,LD31A91D,0.191646666666667
LD31A91F,LD31A91E,0.273846666666667
LD31A91D,LD31A91F,0.101916666666667
LD31A91D,LD31A91E,0.0937733333333333
LD31J65C,LD31J65A,0.25618
LD31J65C,LD31G83C,0.119306666666667
LD31J65C,LD31B50B,0.248056666666667
LD31J65A,LD31N06B,0.0680833333333333
LD31J65A,LD31J65C,0.785986666666667
LD31J65A,LD31G83C,0.270756666666667
LD31J65A,LD31B50B,0.299666666666667
LD31J65A,LD31E64C,0.0489166666666667
LD31H07A,LD31H07B,0.12755
LD31H07A,LD31H07C,0.470366666666667
LD31H07A,LD31G75B,0.20781
LD31H07A,LD31F47B,0.276706666666667
LD31H07A,LD31F47C,0.07542
LD31H07A,LD31H09A,0.09612
LD31H07A,LD31H09C,0.29171
LD31H07B,LD31H07A,0.0235233333333333
LD31H07B,LD31H07C,0.38101
LD31H07B,LD31J29A,0.22331
LD31H07B,LD31H09C,0.02482
LD31H07C,LD31H07A,0.443363333333333
LD31H07C,LD31H07B,0.453816666666667
LD31H07C,LD31F47B,0.10626
LD31H07C,LD31H09C,0.1123
LD31O26B,LD31O26A,0.686176666666667
LD31O26B,LD31A59C,0.139926666666667
LD31O26B,LD31A59B,0.0576666666666667
LD31O26B,LD31E98B,0.0230166666666667
LD31O26B,LD31H25B,0.06585
LD31O26A,LD31O26B,1.09344666666667
LD31O26A,LD31O26C,0.239936666666667
LD31O26A,LD31A59C,0.05744
LD31O26A,LD31A59B,0.0533666666666667
LD31O26A,LD31A93E,0.134643333333333
LD31O26A,LD31H25B,0.598046666666667
LD31K57B,LD31K57C,0.42683
LD31K57B,LD31A92C,0.179393333333333
LD31K57B,LD31A92A,0.263253333333333
LD31K57B,LD31A92B,0.110763333333333
LD31K57B,LD31D58B,0.107986666666667
LD31K57B,LD31D58A,0.05907
LD31K57B,LD31C47C,0.26672
LD31K57B,LD31J09C,0.66201
LD31K57B,LD31J09B,0.112693333333333
LD31K57B,LD31J09A,0.106073333333333
LD31N59E,LD31N59F,0.0895166666666667
LD31N59E,LD31A92E,0.0434866666666667
LD31N59E,LD31C47F,0.04123
LD31N59E,LD31A93F,0.17168
LD31N59F,LD31N59E,0.111676666666667
LD31N59F,LD31A92F,0.0506633333333333
LD31N59F,LD31F59D,0.0202433333333333
