CellId, SiteId, PCI, EARFCN, PlanFlag
LF31G15B,LF31G15-F38400,253,38400,0
LF31G15C,LF31G15-F38400,254,38400,0
LF31G16A,LF31G16-F38400,246,38400,0
LF31G16B,LF31G16-F38400,247,38400,0
LF31G16C,LF31G16-F38400,248,38400,0
LF31G17A,LF31G17-F38400,261,38400,0
LF31G17B,LF31G17-F38400,262,38400,0
LF31G17C,LF31G17-F38400,263,38400,0
LD31G18A,LD31G18-F37900,312,37900,0
LD31G18B,LD31G18-F37900,313,37900,0
LD31G18C,LD31G18-F37900,314,37900,0
LF31G18A,LF31G18-F38400,14,38400,0
LF31G18B,LF31G18-F38400,13,38400,0
LF31G18C,LF31G18-F38400,12,38400,0
LF31G19A,LF31G19-F38400,21,38400,0
LF31G19B,LF31G19-F38400,22,38400,0
LF31G19C,LF31G19-F38400,23,38400,0
LF31G20A,LF31G20-F38400,53,38400,0
LF31G20B,LF31G20-F38400,51,38400,0
LF31G20C,LF31G20-F38400,52,38400,0
LD31G22A,LD31G22-F37900,159,37900,0
LD31G22B,LD31G22-F37900,160,37900,0
LD31G22C,LD31G22-F37900,161,37900,0
LF31G22A,LF31G22-F38400,61,38400,0
LF31G22B,LF31G22-F38400,60,38400,0
LF31G22C,LF31G22-F38400,62,38400,0
LF31G23A,LF31G23-F38400,73,38400,0
LF31G23B,LF31G23-F38400,74,38400,0
LF31G23C,LF31G23-F38400,72,38400,0
LF31G24A,LF31G24-F38400,94,38400,0
LF31G24B,LF31G24-F38400,95,38400,0
LF31G24C,LF31G24-F38400,93,38400,0
LF31G25A,LF31G25-F38400,258,38400,0
LF31G25B,LF31G25-F38400,259,38400,0
LF31G25C,LF31G25-F38400,260,38400,0
LD31G26A,LDF31G26-F37900,473,37900,0
LD31G26B,LDF31G26-F37900,472,37900,0
LD31G26C,LDF31G26-F37900,471,37900,0
LF31G26A,LDF31G26-F38400,257,38400,0
LF31G26B,LDF31G26-F38400,255,38400,0
LF31G26C,LDF31G26-F38400,256,38400,0
LF31G27A,LF31G27-F38400,201,38400,0
LF31G27B,LF31G27-F38355,203,38355,0
LF31G27C,LF31G27-F38355,202,38355,0
LF31G28A,LF31G28-F38400,391,38400,0
LF31G28B,LF31G28-F38400,392,38400,0
LF31G28C,LF31G28-F38400,390,38400,0
LF31G29A,LF31G29-F38400,285,38400,0
LF31G29B,LF31G29-F38400,286,38400,0
LF31G29C,LF31G29-F38400,287,38400,0
LF31G30A,LF31G30-F38400,154,38400,0
LF31G30B,LF31G30-F38400,153,38400,0
LF31G30C,LF31G30-F38400,155,38400,0
LF31G31A,LF31G31-F38400,498,38400,0
LF31G31B,LF31G31-F38400,500,38400,0
LF31G31C,LF31G31-F38400,499,38400,0
LD31G32A,LDF31G32-F37900,255,37900,0
LD31G32B,LDF31G32-F37900,257,37900,0
LD31G32C,LDF31G32-F38098,256,38098,0
LF31G32A,LDF31G32-F38400,281,38400,0
LF31G32B,LDF31G32-F38400,279,38400,0
LF31G32C,LDF31G32-F38400,280,38400,0
LD31G33A,LDF31G33-F37900,408,37900,0
LD31G33B,LDF31G33-F37900,409,37900,0
LD31G33C,LDF31G33-F37900,410,37900,0
LD31G33D,LDF31G33-F38098,74,38098,0
LF31G33A,LF31G33-F38400,420,38400,0
LF31G33B,LF31G33-F38400,421,38400,0
LF31G33C,LF31G33-F38400,422,38400,0
LD31G34A,LD31G34-F37900,237,37900,0
LD31G34B,LD31G34-F37900,239,37900,0
LD31G34C,LD31G34-F37900,238,37900,0
LD31G34D,LD31G34-F38098,330,38098,0
LD31G34E,LD31G34-F38098,332,38098,0
LD31G34F,LD31G34-F38098,331,38098,0
LF31G34A,LF31G34-F38400,435,38400,0
LF31G34B,LF31G34-F38400,436,38400,0
LF31G34C,LF31G34-F38400,437,38400,0
LD31G35A,LD31G35-F37900,340,37900,0
LD31G35B,LD31G35-F37900,339,37900,0
LD31G35C,LD31G35-F37900,341,37900,0
LF31G36A,LF31G36-F38400,117,38400,0
LF31G36B,LF31G36-F38400,118,38400,0
LF31G36C,LF31G36-F38400,119,38400,0
LD31G37A,LD31G37-F37900,403,37900,0
LD31G37B,LD31G37-F37900,402,37900,0
LD31G37C,LD31G37-F37900,404,37900,0
LF31G37A,LF31G37-F38400,336,38400,0
LF31G37B,LF31G37-F38400,337,38400,0
LF31G37C,LF31G37-F38400,338,38400,0
LD31G38A,LD31G38-F37900,310,37900,0
LD31G38B,LD31G38-F37900,309,37900,0
LD31G38C,LD31G38-F37900,311,37900,0
LF31G39A,LF31G39-F38400,195,38400,0
LF31G39B,LF31G39-F38400,197,38400,0
LF31G39C,LF31G39-F38400,196,38400,0
LD31G40A,LD31G40-F37900,279,37900,0
LD31G40B,LD31G40-F37900,280,37900,0
LD31G40C,LD31G40-F37900,281,37900,0
LF31G41A,LF31G41-F38400,32,38400,0
LF31G41B,LF31G41-F38400,31,38400,0
LF31G41C,LF31G41-F38400,30,38400,0
LD31G42A,LD31G42-F37900,483,37900,0
LD31G42B,LD31G42-F37900,484,37900,0
LD31G42C,LD31G42-F37900,485,37900,0
LF31G42A,LF31G42-F38400,7,38400,0
LF31G42B,LF31G42-F38400,8,38400,0
LF31G42C,LF31G42-F38400,6,38400,0
LD31G43A,LDF31G43-F37900,330,37900,0
LD31G43B,LDF31G43-F37900,332,37900,0
LD31G43C,LDF31G43-F37900,331,37900,0
LF31G43A,LDF31G43-F38400,249,38400,0
LF31G43B,LDF31G43-F38400,250,38400,0
LF31G43C,LDF31G43-F38400,251,38400,0
LD31G44A,LD31G44-F37900,1,37900,0
LD31G44B,LD31G44-F38098,0,38098,0
LD31G46A,LD31G46-F37900,24,37900,0
LD31G46B,LD31G46-F37900,25,37900,0
LD31G46C,LD31G46-F37900,26,37900,0
LF31G46A,LF31G46-F38400,194,38400,0
LF31G46B,LF31G46-F38400,193,38400,0
LF31G46C,LF31G46-F38400,192,38400,0
LD31G47A,LD31G47-F37900,346,37900,0
LD31G47B,LD31G47-F37900,345,37900,0
